"activity" "subject" "Mean_of_tBodyAcc-mean-X" "Mean_of_tBodyAcc-mean-Y" "Mean_of_tBodyAcc-mean-Z" "Mean_of_tBodyAcc-std-X" "Mean_of_tBodyAcc-std-Y" "Mean_of_tBodyAcc-std-Z" "Mean_of_tGravityAcc-mean-X" "Mean_of_tGravityAcc-mean-Y" "Mean_of_tGravityAcc-mean-Z" "Mean_of_tGravityAcc-std-X" "Mean_of_tGravityAcc-std-Y" "Mean_of_tGravityAcc-std-Z" "Mean_of_tBodyAccJerk-mean-X" "Mean_of_tBodyAccJerk-mean-Y" "Mean_of_tBodyAccJerk-mean-Z" "Mean_of_tBodyAccJerk-std-X" "Mean_of_tBodyAccJerk-std-Y" "Mean_of_tBodyAccJerk-std-Z" "Mean_of_tBodyGyro-mean-X" "Mean_of_tBodyGyro-mean-Y" "Mean_of_tBodyGyro-mean-Z" "Mean_of_tBodyGyro-std-X" "Mean_of_tBodyGyro-std-Y" "Mean_of_tBodyGyro-std-Z" "Mean_of_tBodyGyroJerk-mean-X" "Mean_of_tBodyGyroJerk-mean-Y" "Mean_of_tBodyGyroJerk-mean-Z" "Mean_of_tBodyGyroJerk-std-X" "Mean_of_tBodyGyroJerk-std-Y" "Mean_of_tBodyGyroJerk-std-Z" "Mean_of_tBodyAccMag-mean" "Mean_of_tBodyAccMag-std" "Mean_of_tGravityAccMag-mean" "Mean_of_tGravityAccMag-std" "Mean_of_tBodyAccJerkMag-mean" "Mean_of_tBodyAccJerkMag-std" "Mean_of_tBodyGyroMag-mean" "Mean_of_tBodyGyroMag-std" "Mean_of_tBodyGyroJerkMag-mean" "Mean_of_tBodyGyroJerkMag-std" "Mean_of_fBodyAcc-mean-X" "Mean_of_fBodyAcc-mean-Y" "Mean_of_fBodyAcc-mean-Z" "Mean_of_fBodyAcc-std-X" "Mean_of_fBodyAcc-std-Y" "Mean_of_fBodyAcc-std-Z" "Mean_of_fBodyAcc-meanFreq-X" "Mean_of_fBodyAcc-meanFreq-Y" "Mean_of_fBodyAcc-meanFreq-Z" "Mean_of_fBodyAccJerk-mean-X" "Mean_of_fBodyAccJerk-mean-Y" "Mean_of_fBodyAccJerk-mean-Z" "Mean_of_fBodyAccJerk-std-X" "Mean_of_fBodyAccJerk-std-Y" "Mean_of_fBodyAccJerk-std-Z" "Mean_of_fBodyAccJerk-meanFreq-X" "Mean_of_fBodyAccJerk-meanFreq-Y" "Mean_of_fBodyAccJerk-meanFreq-Z" "Mean_of_fBodyGyro-mean-X" "Mean_of_fBodyGyro-mean-Y" "Mean_of_fBodyGyro-mean-Z" "Mean_of_fBodyGyro-std-X" "Mean_of_fBodyGyro-std-Y" "Mean_of_fBodyGyro-std-Z" "Mean_of_fBodyGyro-meanFreq-X" "Mean_of_fBodyGyro-meanFreq-Y" "Mean_of_fBodyGyro-meanFreq-Z" "Mean_of_fBodyAccMag-mean" "Mean_of_fBodyAccMag-std" "Mean_of_fBodyAccMag-meanFreq" "Mean_of_fBodyBodyAccJerkMag-mean" "Mean_of_fBodyBodyAccJerkMag-std" "Mean_of_fBodyBodyAccJerkMag-meanFreq" "Mean_of_fBodyBodyGyroMag-mean" "Mean_of_fBodyBodyGyroMag-std" "Mean_of_fBodyBodyGyroMag-meanFreq" "Mean_of_fBodyBodyGyroJerkMag-mean" "Mean_of_fBodyBodyGyroJerkMag-std" "Mean_of_fBodyBodyGyroJerkMag-meanFreq" "Mean_of_angle(tBodyAccMean,gravity)" "Mean_of_angle(tBodyAccJerkMean),gravityMean)" "Mean_of_angle(tBodyGyroMean,gravityMean)" "Mean_of_angle(tBodyGyroJerkMean,gravityMean)" "Mean_of_angle(X,gravityMean)" "Mean_of_angle(Y,gravityMean)" "Mean_of_angle(Z,gravityMean)"
"LAYING" 19 0.268339183113475 -0.0187589558484787 -0.12140415774744 -0.461518195570603 -0.382898728217553 -0.563379417093972 0.396641053120567 0.117385170141844 0.205164116944078 -0.952134253546099 -0.955034903368794 -0.935134902021277 0.0779477317570567 0.01197467159536 -0.00263531556095035 -0.456033263519823 -0.45916968473617 -0.627422831732979 -0.0426130632166468 -0.0687555371432624 0.089144878148227 -0.544103884670922 -0.552569791211738 -0.555552530206028 -0.0869042168156028 -0.0374993264437234 -0.0572815080969149 -0.518143683504965 -0.653111328633333 -0.604108473047411 -0.410877683475496 -0.498668963457695 -0.410877683475496 -0.498668963457695 -0.462907588320922 -0.496521162673404 -0.436124386587234 -0.512127771264184 -0.598923600520567 -0.653554118557801 -0.477185043103227 -0.400042026700426 -0.557277430894504 -0.456750917149291 -0.413717522581738 -0.60416090492695 -0.23845736046922 0.0911029771092553 0.196123712722269 -0.48421303958461 -0.49177051765 -0.596987771010638 -0.475886085932979 -0.460040238390355 -0.656625512764504 -0.0467452440102837 -0.191842633635957 -0.010409611195578 -0.436778112799291 -0.547965143065248 -0.500185710441915 -0.579925107574326 -0.561207403280851 -0.617567859386525 -0.00635513836297872 -0.164224160228369 -0.0220135797724468 -0.442152560739255 -0.613439689329787 0.133393874134397 -0.463697247065319 -0.546596600775887 0.206158870051418 -0.542929656906738 -0.578759700079787 0.0209225424950355 -0.645500585606383 -0.690258655705674 0.125922555465603 -0.00455101056904255 0.010853849927305 0.038929649437695 -0.00717328680496454 -0.240020635177305 -0.0160048198971631 -0.136658354067376
"LAYING" 21 0.277466525522059 -0.0176664578561765 -0.10877848058848 -0.672323867377451 -0.565585190336299 -0.669621813176471 0.645775957808824 -0.0750963071446078 0.0321851774362745 -0.965586634460784 -0.969330818455882 -0.953093993308823 0.0822207874776961 0.00350107553584853 -0.010659072671299 -0.699763344205784 -0.66515912310562 -0.78182390148299 -0.0276346639303578 -0.0784719736838971 0.0861212668362745 -0.79617228689951 -0.765057760637255 -0.701642028499559 -0.100558317889216 -0.0408236141863333 -0.0533861046416422 -0.792483156720588 -0.815859336004902 -0.812017312181373 -0.620309259553676 -0.6601960145 -0.620309259553676 -0.6601960145 -0.703461275879657 -0.680069218953922 -0.693779224517157 -0.761303119652451 -0.807817403137255 -0.82408989995098 -0.693486097144118 -0.59377821414902 -0.707713799021814 -0.665349663426471 -0.578748586831863 -0.675588192778676 -0.230976168156039 0.0412761403403333 0.0495520452825172 -0.71641413145049 -0.678615118728922 -0.767351986555392 -0.709800728388235 -0.674102360655147 -0.794922813673627 0.0168697571497059 -0.161814485722304 -0.112817222676985 -0.752040828651961 -0.759325714811275 -0.709471420465686 -0.811026710110294 -0.771388318823529 -0.728319304730637 -0.089010657789951 -0.18645796643924 -0.0228851873218137 -0.658664719514706 -0.714345739215931 0.0846512609471814 -0.679742584809363 -0.683725127418382 0.244321861877647 -0.776473060171569 -0.793158526279412 -0.00571922625735294 -0.826275026053922 -0.834949863259804 0.205643655933971 0.0120749006444118 -0.0146502110504902 0.0140122661183824 0.0220888939914216 -0.413916194215686 0.128426547916667 -0.0191761331715686
"LAYING" 22 0.274767690046106 -0.0168273604077383 -0.108670376782866 -0.546089975548692 -0.491188426241526 -0.65508967878972 0.609390874922118 0.0315098683115265 0.23588786398215 -0.95850446411215 -0.957323093436449 -0.939081026109034 0.0791031130417757 0.0152572466619626 -0.0072287329753271 -0.584963756862305 -0.560470117123364 -0.760468444299065 -0.00800630644716511 -0.0949661116922118 0.0812406584647975 -0.695919202960436 -0.784052281090343 -0.654458016208723 -0.109257561827445 -0.0384616223750156 -0.0582144293519003 -0.708898710199377 -0.859924419844237 -0.742272774987539 -0.504099198287601 -0.595953853592586 -0.504099198287601 -0.595953853592586 -0.609772829890966 -0.589823140414673 -0.637666108456075 -0.67637856158162 -0.794681311214953 -0.82649344800623 -0.594929652065732 -0.508172778206231 -0.687320961149533 -0.528958812567601 -0.51558097336324 -0.665516999699377 -0.181031984073891 0.0371992326304984 0.0806295666361371 -0.60425320237352 -0.574318114038941 -0.739701808286604 -0.602457991412617 -0.576391814080349 -0.780252702647975 0.0665521438309969 -0.178425080835514 -0.0467691789252336 -0.639575654479751 -0.79139974588785 -0.643363339819315 -0.714977903442368 -0.782046079563863 -0.690679448900312 -0.164138008195857 -0.200741314631402 -0.0516302487909034 -0.574333164853583 -0.673896212809346 0.103277150317358 -0.585442501515888 -0.599286879114019 0.161936362996885 -0.728166770031153 -0.699600086233645 -0.131615440167913 -0.830191956697819 -0.835597218255452 0.119560563802492 0.00591975838286604 0.00405797775392523 -0.00889544131713395 0.0222007955298131 -0.428060520436137 0.0511206787626168 -0.163514653203115
"LAYING" 23 0.273493254730108 -0.019589258786828 -0.109093982385242 -0.622594039757258 -0.532078546615699 -0.450557203409946 0.662324737580645 0.0146209197354839 0.0518662466372043 -0.964393040295699 -0.960318907096774 -0.934236146612903 0.0778588215843817 0.0200470964972984 -0.000717680881887096 -0.608183751830914 -0.61898123051828 -0.603048769571532 -0.0220890418013172 -0.0825972963754032 0.074694942324328 -0.755738625241935 -0.500338191139785 -0.609683451821774 -0.0966990737225806 -0.0432722741798387 -0.0621959093526344 -0.728692138333333 -0.546043593651882 -0.740518145887097 -0.532754757205108 -0.56557562579215 -0.532754757205108 -0.56557562579215 -0.58640067170914 -0.55872531418629 -0.544207964433387 -0.541949073660753 -0.623412641977151 -0.573942888021613 -0.599080886430645 -0.548483208943548 -0.49021281618414 -0.633839114436559 -0.554471679592177 -0.474767543716048 -0.20872442068086 0.0297877248998253 0.0899843792518548 -0.617521836605645 -0.628231338392742 -0.578870810235484 -0.635054351475538 -0.636977610060753 -0.627540367652688 0.0173580639424731 -0.124670179855 -0.112528879362903 -0.685136501518817 -0.497783811010484 -0.617685416736559 -0.779197054064516 -0.50785054741371 -0.644131036807258 -0.0251692798377688 -0.0592724696043011 -0.0229424899271505 -0.529029284118011 -0.657048917971505 0.11533518491586 -0.542663319457527 -0.583832309145968 0.202553279152177 -0.534657191683602 -0.632288527203763 0.154723197790323 -0.584111049810215 -0.593735302105376 0.169185024505108 0.00499252114895161 -0.0112360231368817 0.0121649142389785 -0.0178096428516129 -0.503722187822581 0.0709910591236559 -0.044001828733871
"LAYING" 25 0.275301467772127 -0.0193221769314914 -0.10962903098044 -0.716264537547677 -0.531421035602689 -0.64709556105868 0.672386622127139 0.0471601427530562 0.239226040930391 -0.950017091344743 -0.901088770963325 -0.880682330706602 0.0817657442063814 0.00638633884442543 -0.010346171499489 -0.79682335007335 -0.722502919364303 -0.860669382640587 -0.00298151164792176 -0.083900354157824 0.0993606079900489 -0.683131970775061 -0.752261013276284 -0.74741022 -0.108263884562298 -0.0389884753435208 -0.0555782223647433 -0.768682473178484 -0.902628080757946 -0.831848667286064 -0.583377749713936 -0.659015505611247 -0.583377749713936 -0.659015505611247 -0.783445354474328 -0.780451867848411 -0.625733064258924 -0.68515279467066 -0.849630706259169 -0.872776184449878 -0.748416509682152 -0.600027697242054 -0.738509947579462 -0.705223686579951 -0.529064652290954 -0.630224637674572 -0.306657190525183 -0.108650116189389 -0.0744502098628851 -0.804144642836186 -0.740570312249389 -0.849504849486553 -0.807712525721271 -0.721707668572127 -0.870541516210269 -0.110793009529829 -0.347751351072054 -0.235707422494548 -0.672197763601467 -0.81313379207824 -0.746832213594132 -0.690398481943765 -0.723584437530562 -0.771208929095355 -0.207601176327873 -0.349146931885306 -0.135139739853178 -0.69501971 -0.695367928718826 -0.0426423613907335 -0.779190075892421 -0.783547229755501 0.168222731255721 -0.754236109755501 -0.697213120366748 -0.220820330447482 -0.875970674743276 -0.877714953691932 0.0471482866507579 -0.00122167177865526 0.0470369997647922 -0.0266895304210269 0.0223855658885575 -0.512418782127139 0.0307388427555012 -0.159471155005623
"LAYING" 26 0.266665086303289 -0.0126604564370395 -0.103219748046053 -0.789519438953947 -0.759447176072368 -0.8142498625 0.528481106315789 0.181035843730263 0.297372368697368 -0.964082836710526 -0.968145476513158 -0.9613159325 0.0814224740394737 0.0121608809678289 -0.00497434950706579 -0.818396768901316 -0.805625271068421 -0.846934171052632 -0.0244980085046053 -0.0812137120125 0.0994417664671053 -0.859708431539474 -0.881999147828947 -0.819087657368421 -0.101421019955132 -0.0407465479328947 -0.0582775581136711 -0.845707352960526 -0.900085505789474 -0.860892131447368 -0.763300536230263 -0.791764282506579 -0.763300536230263 -0.791764282506579 -0.813616303289474 -0.810730519598684 -0.817365100914474 -0.852827576842105 -0.87854780875 -0.8944923525 -0.798084999106579 -0.764578737986842 -0.819468786973684 -0.786684494585526 -0.771916156513158 -0.826532078684211 -0.153860072832895 0.0948057712618421 0.218123268171441 -0.828885664342105 -0.813670066978947 -0.841140613026316 -0.823791834118421 -0.81033083655329 -0.851347576776316 0.0681328708618421 -0.0472420939210526 0.0230436078149342 -0.827882281605263 -0.881744655131579 -0.808503304736842 -0.870023551125 -0.88376038868421 -0.839659688486842 -0.0157284768403289 -0.146366379833553 0.0552045950223026 -0.797373303203947 -0.821611235003289 0.138044475125658 -0.811055083907895 -0.811299976757237 0.256426426127632 -0.866592854210526 -0.869453256710526 -0.0360247834938224 -0.895942263092105 -0.900418082960526 0.215092469069079 0.00476581331111842 0.0178873466927632 0.0227178446196053 0.000762224184868423 -0.400238387296053 -0.0627826984473684 -0.197784479947368
"SITTING" 11 0.276609068219745 -0.0190957961722611 -0.108973870187898 -0.586989828163694 -0.487537966213376 -0.663355760656051 0.729207854076433 0.0541723497267516 0.139688402656051 -0.975345253949045 -0.956991877006369 -0.956705197643312 0.0830004391649682 0.00754575472050955 -0.00657436282267516 -0.657387159348408 -0.606569926348726 -0.841621374808917 -0.0545826997471656 -0.057760866393949 0.0873479055083583 -0.738479109537261 -0.70169442656051 -0.723530145828025 -0.080526211410828 -0.0494763417675159 -0.0481072817632166 -0.78059608955414 -0.867648350828025 -0.794328936815287 -0.540084945283758 -0.610737597765605 -0.540084945283758 -0.610737597765605 -0.677924832601911 -0.662431689321656 -0.626413805245223 -0.69510017755 -0.825822469617834 -0.866269129904459 -0.617290238473248 -0.528901169711338 -0.748594813630573 -0.57690682108535 -0.499770978461465 -0.650036914427707 -0.227199722951592 0.031724435811465 0.0497071630566242 -0.674872244027389 -0.630337497896497 -0.824589228503185 -0.670286674469745 -0.607174094924522 -0.857447076624204 -0.0899135359938854 -0.246567249067197 -0.100656351530446 -0.708402086047771 -0.775534336847134 -0.707266984681529 -0.750362055652866 -0.668859800442994 -0.754643547101911 -0.114102792801465 -0.186436198811465 -0.0813690711780892 -0.609395391584395 -0.672661671869427 0.127382885466697 -0.654240627881529 -0.675240275003185 0.159077256933662 -0.756276579840764 -0.709659078215287 -0.111538657103599 -0.86416270955414 -0.878701849840764 0.117732386092994 -0.000816833977547771 -0.0182268479493631 0.0470968371996815 -0.0316138680933439 -0.534692583312102 0.000380854012738852 -0.0765469618659236
"SITTING" 14 0.270184596009288 -0.0162548178510526 -0.100985935692074 -0.611671118216099 -0.374730765205077 -0.29354271467452 0.672081224882353 -0.111701388781115 -0.161179728291022 -0.941245714736842 -0.942377305312693 -0.915927846160991 0.0741757467665015 0.00443682723817957 -0.00253044692473994 -0.641964198633003 -0.586459622773684 -0.656855586102105 0.000253671358297214 -0.0954921154823529 0.0606712446996904 -0.728661379340557 -0.398959362766099 -0.364478192502167 -0.107556127062003 -0.0433200489340217 -0.0450693836894427 -0.7862917325387 -0.6979155314613 -0.638299064788854 -0.453262620331889 -0.474058613408978 -0.453262620331889 -0.474058613408978 -0.608973420309907 -0.605144269857245 -0.416459776709257 -0.471486714606811 -0.700520939854799 -0.727023009383901 -0.619513271851703 -0.455237617000929 -0.440650672343653 -0.609406374110062 -0.376829989404644 -0.275013722171486 -0.319171141631269 -0.15308350824613 -0.107844299474303 -0.654385009392879 -0.598699531399381 -0.618712162187307 -0.661460356953251 -0.60215894382322 -0.694424996467802 -0.148657336754489 -0.305355379229102 -0.239200679844272 -0.699166400749226 -0.50463317018839 -0.42391821438452 -0.740052209854489 -0.348864187370186 -0.407672097170898 -0.241341060754489 -0.345434763249536 -0.212818474897214 -0.490874179820433 -0.548269930770588 -0.0600681274123529 -0.596896308848452 -0.619215144539319 0.137239545472136 -0.543030528985449 -0.516930495917399 -0.138544755393189 -0.717590101802972 -0.760560087962848 0.0907579516695975 0.0322300415756966 0.0224016793242724 -0.0525746015359133 0.0278351930258824 -0.41886828720743 0.157115290074303 0.121501628916409
"SITTING" 15 0.27821340725 -0.016464484771311 -0.112563587594512 -0.556541173089329 -0.481679537956006 -0.705706623868902 0.688872511512195 0.102660491875 0.0372897701757012 -0.968733398628049 -0.956369493993902 -0.947240058048781 0.0776897411304878 0.00489392052706402 -0.00440993190077744 -0.624055782158537 -0.594312678045091 -0.825820881576219 -0.0281278780610671 -0.075878845519878 0.0906658516 -0.696859473045732 -0.708779069191463 -0.721826987530488 -0.0960910108539634 -0.0441270690182012 -0.0555645456881098 -0.731382711036585 -0.853956592073171 -0.795626198384146 -0.527285352000488 -0.557147874176037 -0.527285352000488 -0.557147874176037 -0.654799694757531 -0.625660376546646 -0.617721779796037 -0.675336960047866 -0.805282669512195 -0.837120078079268 -0.583772317445122 -0.507735205778384 -0.741745724698171 -0.547150855443902 -0.501568435233384 -0.711431340356707 -0.218637119967988 0.0505085375937378 0.0424519595017988 -0.643469519361585 -0.609408057377744 -0.805543465588415 -0.637655155092835 -0.605854882622652 -0.845111060762195 -0.0490273566650701 -0.197408729697561 -0.0737834470521341 -0.664354428856402 -0.760711411006098 -0.711194539920732 -0.709336168176829 -0.684504735744512 -0.751696527195122 -0.143256673841646 -0.222137469043902 -0.0579760577340244 -0.562948391223628 -0.623655618198171 0.0614279187379573 -0.614817605125915 -0.643101167069512 0.1584042182 -0.732394493841463 -0.695346839682927 -0.149680864646374 -0.83680189402439 -0.849634463841463 0.0955564233589329 0.0134188448537683 -0.0123872455271341 0.000727811597256099 0.00667519244222561 -0.522572017743902 -0.0283465809658537 -0.00396904339878049
"SITTING" 16 0.277887440374317 -0.0158567888309016 -0.107263924445355 -0.668161498298634 -0.649947067892896 -0.603819902386066 0.700906130308743 -0.0605235993797814 0.0402075536234973 -0.971156432131148 -0.964727519945355 -0.945294028639344 0.0775488885374317 0.00884018328270219 -0.00143730005564208 -0.72786174352459 -0.735080198043716 -0.767873049380055 -0.0122341446725137 -0.0724444803980874 0.0730144651530055 -0.799534450491803 -0.810124133715847 -0.737629967961749 -0.107361614801257 -0.0416615668939617 -0.0539470410873497 -0.858298719153005 -0.86957312057377 -0.837039926065574 -0.616131116889044 -0.661719690491803 -0.616131116889044 -0.661719690491803 -0.725246870486339 -0.719647028238525 -0.718168775628415 -0.78482286579235 -0.860446372459016 -0.87480016568306 -0.700885147341803 -0.671572147098798 -0.660989948160437 -0.656969045058415 -0.661844530506831 -0.605646725307104 -0.238570460241803 -0.0276434719766667 0.0278234635724863 -0.744662041612022 -0.748627001551913 -0.752302172079235 -0.73477673661306 -0.738434398105465 -0.782089515344262 -0.0318889109278689 -0.194511969031749 -0.170592442202459 -0.789780147036612 -0.815962130027322 -0.756286641721311 -0.804991831502732 -0.809421448142077 -0.756993640724044 -0.137899091231284 -0.158018408842896 -0.0538946293731967 -0.666962508246721 -0.712680990765301 0.0558668214710383 -0.713167613706148 -0.729869398769672 0.221683632275519 -0.81712881920765 -0.802078223409836 -0.0501221341519126 -0.87277228273224 -0.886533212213115 0.153211239562049 -0.000582754422021858 0.020561870829235 -0.0263301018843443 0.0351066626505464 -0.514965036584699 0.125280842806284 -0.0344521193606011
